Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_am_cos', k=20, loss_type='cosface', lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_am_cos', k=20, loss_type='cosface', lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Train 0, loss: 4.406956, train acc: 0.868393, train avg acc: 0.705749, train iou: 0.632170
Test 0, loss: 1.727104, test acc: 0.943108, test avg acc: 0.875885, test iou: 0.837981
Train 1, loss: 1.486753, train acc: 0.929516, train avg acc: 0.870919, train iou: 0.809710
Test 1, loss: 1.296551, test acc: 0.806948, test avg acc: 0.807224, test iou: 0.621694
Train 2, loss: 1.239457, train acc: 0.898307, train avg acc: 0.857366, train iou: 0.752587
Test 2, loss: 1.159147, test acc: 0.885561, test avg acc: 0.849547, test iou: 0.731030
Train 3, loss: 1.057183, train acc: 0.942860, train avg acc: 0.890544, train iou: 0.842034
Test 3, loss: 1.039897, test acc: 0.950363, test avg acc: 0.886934, test iou: 0.856788
Train 4, loss: 0.973564, train acc: 0.958952, train avg acc: 0.906981, train iou: 0.881412
Test 4, loss: 0.961708, test acc: 0.959556, test avg acc: 0.908292, test iou: 0.883122
Train 5, loss: 0.929385, train acc: 0.961350, train avg acc: 0.912517, train iou: 0.888284
Test 5, loss: 0.944239, test acc: 0.960477, test avg acc: 0.910213, test iou: 0.885714
Train 6, loss: 0.908595, train acc: 0.962484, train avg acc: 0.915083, train iou: 0.891523
Test 6, loss: 0.920345, test acc: 0.961440, test avg acc: 0.912413, test iou: 0.888470
Train 7, loss: 0.893241, train acc: 0.963386, train avg acc: 0.917137, train iou: 0.894104
Test 7, loss: 0.918830, test acc: 0.959166, test avg acc: 0.907239, test iou: 0.881967
Train 8, loss: 0.876380, train acc: 0.964153, train avg acc: 0.918893, train iou: 0.896303
Test 8, loss: 0.911419, test acc: 0.959835, test avg acc: 0.908471, test iou: 0.883812
Train 9, loss: 0.860108, train acc: 0.964792, train avg acc: 0.920318, train iou: 0.898128
Test 9, loss: 0.901991, test acc: 0.959528, test avg acc: 0.907769, test iou: 0.882933
Train 10, loss: 0.837818, train acc: 0.965683, train avg acc: 0.922313, train iou: 0.900675
Test 10, loss: 0.864268, test acc: 0.963700, test avg acc: 0.917740, test iou: 0.894979
Train 11, loss: 0.823712, train acc: 0.966210, train avg acc: 0.923499, train iou: 0.902183
Test 11, loss: 0.866536, test acc: 0.960826, test avg acc: 0.910712, test iou: 0.886643
Train 12, loss: 0.805066, train acc: 0.967084, train avg acc: 0.925457, train iou: 0.904684
Test 12, loss: 0.848429, test acc: 0.964397, test avg acc: 0.919196, test iou: 0.896950
Train 13, loss: 0.783475, train acc: 0.967861, train avg acc: 0.927199, train iou: 0.906908
Test 13, loss: 0.800995, test acc: 0.965206, test avg acc: 0.920747, test iou: 0.899210
Train 14, loss: 0.755779, train acc: 0.968920, train avg acc: 0.929594, train iou: 0.909946
Test 14, loss: 0.767892, test acc: 0.969992, test avg acc: 0.932466, test iou: 0.913100
Train 15, loss: 0.731159, train acc: 0.969787, train avg acc: 0.931526, train iou: 0.912429
Test 15, loss: 0.751692, test acc: 0.970354, test avg acc: 0.932767, test iou: 0.914051
Train 16, loss: 0.711124, train acc: 0.970456, train avg acc: 0.933027, train iou: 0.914347
Test 16, loss: 0.736922, test acc: 0.969894, test avg acc: 0.931668, test iou: 0.912719
Train 17, loss: 0.694426, train acc: 0.970862, train avg acc: 0.933895, train iou: 0.915506
Test 17, loss: 0.798446, test acc: 0.958510, test avg acc: 0.905235, test iou: 0.879968
Train 18, loss: 0.683585, train acc: 0.970734, train avg acc: 0.933571, train iou: 0.915132
Test 18, loss: 0.713788, test acc: 0.969824, test avg acc: 0.931716, test iou: 0.912555
Train 19, loss: 0.673078, train acc: 0.970272, train avg acc: 0.932467, train iou: 0.913795
Test 19, loss: 0.690644, test acc: 0.968387, test avg acc: 0.927926, test iou: 0.908331
Train 20, loss: 0.667618, train acc: 0.969876, train avg acc: 0.931532, train iou: 0.912650
Test 20, loss: 0.782664, test acc: 0.973898, test avg acc: 0.942312, test iou: 0.924474
Train 21, loss: 0.658528, train acc: 0.969331, train avg acc: 0.930240, train iou: 0.911073
Test 21, loss: 0.723039, test acc: 0.972893, test avg acc: 0.939121, test iou: 0.921447
Train 22, loss: 0.656284, train acc: 0.968559, train avg acc: 0.928475, train iou: 0.908854
Test 22, loss: 0.721886, test acc: 0.959947, test avg acc: 0.908473, test iou: 0.884072
Train 23, loss: 0.649239, train acc: 0.967319, train avg acc: 0.925616, train iou: 0.905284
Test 23, loss: 0.671786, test acc: 0.974163, test avg acc: 0.942138, test iou: 0.925118
Train 24, loss: 0.641690, train acc: 0.965869, train avg acc: 0.922257, train iou: 0.901112
Test 24, loss: 0.676326, test acc: 0.970103, test avg acc: 0.932170, test iou: 0.913325
Train 25, loss: 0.639752, train acc: 0.963689, train avg acc: 0.917262, train iou: 0.894852
Test 25, loss: 0.718877, test acc: 0.954743, test avg acc: 0.896556, test iou: 0.869178
Train 26, loss: 0.632389, train acc: 0.962086, train avg acc: 0.913581, train iou: 0.890251
Test 26, loss: 0.647250, test acc: 0.970480, test avg acc: 0.932732, test iou: 0.914356
Train 27, loss: 0.627097, train acc: 0.960577, train avg acc: 0.910117, train iou: 0.885923
Test 27, loss: 0.660934, test acc: 0.962472, test avg acc: 0.914291, test iou: 0.891320
Train 28, loss: 0.619993, train acc: 0.958970, train avg acc: 0.906421, train iou: 0.881318
Test 28, loss: 0.712781, test acc: 0.952706, test avg acc: 0.891901, test iou: 0.863360
Train 29, loss: 0.617030, train acc: 0.956765, train avg acc: 0.901359, train iou: 0.875004
Test 29, loss: 0.695850, test acc: 0.947810, test avg acc: 0.880708, test iou: 0.849398
Train 30, loss: 0.610976, train acc: 0.955407, train avg acc: 0.898245, train iou: 0.871120
Test 30, loss: 0.704892, test acc: 0.944894, test avg acc: 0.874043, test iou: 0.841099
Train 31, loss: 0.605743, train acc: 0.953914, train avg acc: 0.894830, train iou: 0.866856
Test 31, loss: 0.643972, test acc: 0.954088, test avg acc: 0.895126, test iou: 0.867323
Train 32, loss: 0.604085, train acc: 0.952691, train avg acc: 0.892028, train iou: 0.863362
Test 32, loss: 0.633406, test acc: 0.960170, test avg acc: 0.909052, test iou: 0.884728
Train 33, loss: 0.600327, train acc: 0.951483, train avg acc: 0.889259, train iou: 0.859912
Test 33, loss: 0.762991, test acc: 0.965081, test avg acc: 0.921310, test iou: 0.899024
Train 34, loss: 0.593204, train acc: 0.951645, train avg acc: 0.889633, train iou: 0.860376
Test 34, loss: 0.618767, test acc: 0.953181, test avg acc: 0.893008, test iou: 0.864721
Train 35, loss: 0.591542, train acc: 0.951006, train avg acc: 0.888178, train iou: 0.858556
Test 35, loss: 0.613092, test acc: 0.956110, test avg acc: 0.899750, test iou: 0.873104
Train 36, loss: 0.584241, train acc: 0.950781, train avg acc: 0.887659, train iou: 0.857912
Test 36, loss: 0.609301, test acc: 0.957227, test avg acc: 0.902393, test iou: 0.876319
Train 37, loss: 0.580160, train acc: 0.951861, train avg acc: 0.890123, train iou: 0.860992
Test 37, loss: 0.779211, test acc: 0.966532, test avg acc: 0.924787, test iou: 0.903214
Train 38, loss: 0.663947, train acc: 0.950112, train avg acc: 0.886181, train iou: 0.856021
Test 38, loss: 0.787957, test acc: 0.958343, test avg acc: 0.904967, test iou: 0.879517
Train 39, loss: 0.657314, train acc: 0.949813, train avg acc: 0.885481, train iou: 0.855164
Test 39, loss: 0.639091, test acc: 0.948228, test avg acc: 0.881665, test iou: 0.850590
Train 40, loss: 0.615040, train acc: 0.948554, train avg acc: 0.882595, train iou: 0.851575
Test 40, loss: 0.617037, test acc: 0.949289, test avg acc: 0.884088, test iou: 0.853611
Train 41, loss: 0.591993, train acc: 0.947051, train avg acc: 0.879138, train iou: 0.847288
Test 41, loss: 0.622205, test acc: 0.945633, test avg acc: 0.875733, test iou: 0.843203
Train 42, loss: 0.580304, train acc: 0.945794, train avg acc: 0.876273, train iou: 0.843715
Test 42, loss: 0.623574, test acc: 0.952930, test avg acc: 0.892457, test iou: 0.864010
Train 43, loss: 0.574394, train acc: 0.945788, train avg acc: 0.876261, train iou: 0.843698
Test 43, loss: 0.579866, test acc: 0.957129, test avg acc: 0.902032, test iou: 0.876005
Train 44, loss: 0.564957, train acc: 0.946778, train avg acc: 0.878518, train iou: 0.846513
Test 44, loss: 0.582696, test acc: 0.959473, test avg acc: 0.907435, test iou: 0.882724
Train 45, loss: 0.560846, train acc: 0.946402, train avg acc: 0.877655, train iou: 0.845441
Test 45, loss: 0.583049, test acc: 0.954799, test avg acc: 0.896684, test iou: 0.869337
