Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_spoon', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Train 0, loss: 0.734026, train acc: 0.911971, train avg acc: 0.886758, train iou: 0.817355
Test 0, loss: 0.678071, test acc: 0.966839, test avg acc: 0.962847, test iou: 0.929838
Train 1, loss: 0.680948, train acc: 0.964539, train avg acc: 0.957007, train iou: 0.922890
Test 1, loss: 0.669349, test acc: 0.973152, test avg acc: 0.968883, test iou: 0.942830
Train 2, loss: 0.673796, train acc: 0.970798, train avg acc: 0.964788, train iou: 0.936136
Test 2, loss: 0.662711, test acc: 0.978850, test avg acc: 0.975200, test iou: 0.955135
Train 3, loss: 0.667481, train acc: 0.976749, train avg acc: 0.972294, train iou: 0.949179
Test 3, loss: 0.657203, test acc: 0.984466, test avg acc: 0.983975, test iou: 0.967524
Train 4, loss: 0.662961, train acc: 0.981021, train avg acc: 0.977776, train iou: 0.958624
Test 4, loss: 0.655083, test acc: 0.986056, test avg acc: 0.984065, test iou: 0.970938
Train 5, loss: 0.659429, train acc: 0.984321, train avg acc: 0.981932, train iou: 0.965902
Test 5, loss: 0.654101, test acc: 0.988749, test avg acc: 0.986778, test iou: 0.976734
Train 6, loss: 0.656754, train acc: 0.986811, train avg acc: 0.984889, train iou: 0.971140
Test 6, loss: 0.649956, test acc: 0.991134, test avg acc: 0.990366, test iou: 0.981618
Train 7, loss: 0.654581, train acc: 0.988810, train avg acc: 0.987232, train iou: 0.975361
Test 7, loss: 0.648558, test acc: 0.991915, test avg acc: 0.992511, test iou: 0.982970
Train 8, loss: 0.652781, train acc: 0.990395, train avg acc: 0.989094, train iou: 0.978715
Test 8, loss: 0.646246, test acc: 0.994420, test avg acc: 0.993607, test iou: 0.988127
Train 9, loss: 0.651379, train acc: 0.991648, train avg acc: 0.990548, train iou: 0.981362
Test 9, loss: 0.649064, test acc: 0.993876, test avg acc: 0.991777, test iou: 0.986576
Train 10, loss: 0.650506, train acc: 0.992430, train avg acc: 0.991481, train iou: 0.983039
Test 10, loss: 0.646361, test acc: 0.995389, test avg acc: 0.995731, test iou: 0.990290
Train 11, loss: 0.649750, train acc: 0.993067, train avg acc: 0.992229, train iou: 0.984432
Test 11, loss: 0.643678, test acc: 0.996331, test avg acc: 0.996173, test iou: 0.992463
Train 12, loss: 0.649230, train acc: 0.993520, train avg acc: 0.992772, train iou: 0.985419
Test 12, loss: 0.644089, test acc: 0.996184, test avg acc: 0.996361, test iou: 0.991965
Train 13, loss: 0.648732, train acc: 0.993906, train avg acc: 0.993229, train iou: 0.986278
Test 13, loss: 0.644559, test acc: 0.995661, test avg acc: 0.995956, test iou: 0.990977
Train 14, loss: 0.648271, train acc: 0.994308, train avg acc: 0.993697, train iou: 0.987173
Test 14, loss: 0.644758, test acc: 0.996652, test avg acc: 0.996318, test iou: 0.993212
Train 15, loss: 0.647835, train acc: 0.994680, train avg acc: 0.994136, train iou: 0.988006
Test 15, loss: 0.648380, test acc: 0.997154, test avg acc: 0.996554, test iou: 0.994072
Train 16, loss: 0.647640, train acc: 0.994819, train avg acc: 0.994311, train iou: 0.988318
Test 16, loss: 0.645584, test acc: 0.996882, test avg acc: 0.997249, test iou: 0.993497
Train 17, loss: 0.647302, train acc: 0.995110, train avg acc: 0.994649, train iou: 0.988967
Test 17, loss: 0.644317, test acc: 0.997740, test avg acc: 0.997567, test iou: 0.995425
Train 18, loss: 0.646928, train acc: 0.995416, train avg acc: 0.994982, train iou: 0.989628
Test 18, loss: 0.645295, test acc: 0.997405, test avg acc: 0.997043, test iou: 0.994755
Train 19, loss: 0.646829, train acc: 0.995519, train avg acc: 0.995101, train iou: 0.989866
Test 19, loss: 0.642484, test acc: 0.997824, test avg acc: 0.997921, test iou: 0.995606
Train 20, loss: 0.646637, train acc: 0.995635, train avg acc: 0.995249, train iou: 0.990136
Test 20, loss: 0.642218, test acc: 0.997845, test avg acc: 0.997895, test iou: 0.995708
Train 21, loss: 0.646416, train acc: 0.995845, train avg acc: 0.995483, train iou: 0.990597
Test 21, loss: 0.643425, test acc: 0.997817, test avg acc: 0.998005, test iou: 0.995449
